"total_count","id","memb_id","device_desc","fullname","get_time","meter","start_date","end_date","create_dttm"
9484,158959,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-19 05:20:00",886.0,"2025-02-19 05:08:00","2025-02-19 05:20:00","2025-02-19 05:33:30"
9484,158448,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-18 05:31:00",1137.3,"2025-02-18 05:10:00","2025-02-18 05:31:00","2025-02-18 05:44:09"
9484,158625,"52a62c11-7c4f-4912-91c9-ff5c145328cd",애플워치(Apple Watch),김테스터,"2025-02-17 18:09:00",11.0,"2025-02-17 18:09:00","2025-02-17 18:09:00","2025-02-18 18:11:52"
9484,148609,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-17 07:21:00",1161.7,"2025-02-17 06:58:00","2025-02-17 07:21:00","2025-02-17 07:35:36"
9484,148608,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-17 04:03:00",493.8,"2025-02-17 03:53:00","2025-02-17 04:03:00","2025-02-17 04:07:06"
9484,148607,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-16 22:47:00",1046.2,"2025-02-16 22:31:00","2025-02-16 22:47:00","2025-02-16 23:00:01"
9484,148496,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-16 04:09:00",922.7,"2025-02-16 03:55:00","2025-02-16 04:09:00","2025-02-16 04:23:34"
9484,148495,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-16 02:00:00",909.2,"2025-02-16 01:43:00","2025-02-16 02:00:00","2025-02-16 02:08:17"
9484,148494,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-15 23:56:00",590.1,"2025-02-15 23:45:00","2025-02-15 23:56:00","2025-02-16 00:53:08"
9484,148493,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),김테스터,"2025-02-15 23:41:00",792.8,"2025-02-15 23:26:00","2025-02-15 23:41:00","2025-02-16 00:53:08"
